Model,R-1,R-2,R-L,RL-Sum,BLEU,METEOR,BERTScore-Precision,BertScore-Recall,BertScore-F1,Inference Time,Memory Consumption
T5,0.233,0.058,0.146,0.188,0.013,0.13,0.596,0.511,0.549,2.7639 sec,541.21 MB
FLAN-T5,0.094,0.0328,0.074,0.084,0.001,0.04,0.597,0.381,0.462,0.9219 sec,510.13 MB
BART,0.257,0.069,0.158,0.205,0.016,0.143,0.61,0.526,0.564,0.8377 sec,150.73 MB
GPT,0.237,0.078,0.13,0.183,0.033,0.293,0.562,0.654,0.604,5.5382 sec,873.05 MB
LED,0.245,0.065,0.147,0.199,0.031,0.199,0.531,0.528,0.527,3.6417 sec,801.17 MB
