Model,R-1,R-2,R-L,RL-Sum,BLEU,METEOR,BERTScore-Precision,BertScore-Recall,BertScore-F1,Inference Time,Memory Consumption
T5,0.213,0.072,0.134,0.134,0.005,0.101,0.641,0.475,0.544,2.1838 sec,534.09 MB
FLAN-T5,0.209,0.081,0.132,0.132,0.035,0.122,0.618,0.452,0.516,2.8667 sec,556.70 MB
BART,0.236,0.078,0.144,0.144,0.008,0.112,0.641,0.489,0.554,0.7195 sec,144.06 MB
GPT,0.343,0.13,0.18,0.24,0.073,0.341,0.575,0.632,0.602,3.7586 sec,861.06 MB
LED,0.282,0.084,0.146,0.146,0.044,0.188,0.524,0.49,0.504,3.6482 sec,801.51 MB
