Model,R-1,R-2,R-L,RL-Sum,BLEU,METEOR,BERTScore-Precision,BertScore-Recall,BertScore-F1,Inference Time,Memory Consumption
T5,0.294,0.108,0.204,0.205,0.046,0.193,0.586,0.549,0.564,2.2885 sec,542.71 MB
FLAN-T5,0.327,0.146,0.233,0.234,0.077,0.254,0.598,0.585,0.597,4.3277 sec,626.03 sec
BART,0.284,0.097,0.195,0.196,0.042,0.186,0.559,0.54,0.548,0.7662 sec,147.46 MB
GPT,0.216,0.09,0.146,0.165,0.037,0.288,0.493,0.651,0.559,5.2820 sec,876.37 MB
LED,0.209,0.072,0.14,0.141,0.033,0.15,0.479,0.465,0.468,3.5314 sec,801.39 MB
